,episode_reward,nb_episode_steps,nb_steps
1354,-130.0,70,67554
1355,0.0,50,67604
1356,0.0,50,67654
1357,0.0,50,67704
1358,0.0,50,67754
1359,0.0,50,67804
1360,0.0,50,67854
1361,0.0,50,67904
1362,0.0,50,67954
1363,0.0,50,68004
1364,0.0,50,68054
1365,0.0,50,68104
1366,0.0,50,68154
1367,0.0,50,68204
1368,0.0,50,68254
1369,6.0,50,68304
1370,0.0,50,68354
1371,0.0,50,68404
1372,0.0,50,68454
1373,0.0,50,68504
1374,0.0,50,68554
1375,0.0,50,68604
1376,-500.0,50,68654
1377,-70.0,50,68704
1378,0.0,50,68754
1379,0.0,50,68804
1380,0.0,50,68854
1381,0.0,50,68904
1382,0.0,50,68954
1383,0.0,50,69004
1384,-390.0,50,69054
1385,-180.0,50,69104
1386,0.0,50,69154
1387,0.0,50,69204
1388,0.0,50,69254
1389,0.0,50,69304
1390,0.0,50,69354
1391,0.0,50,69404
1392,0.0,50,69454
1393,0.0,50,69504
1394,0.0,50,69554
1395,0.0,70,69624
1396,0.0,50,69674
1397,0.0,50,69724
1398,0.0,50,69774
1399,0.0,50,69824
1400,0.0,50,69874
1401,0.0,35,69909
1402,0.0,50,69959
1403,0.0,50,70009
1404,0.0,50,70059
1405,0.0,24,70083
1406,0.0,50,70133
1407,0.0,50,70183
1408,0.0,50,70233
1409,0.0,50,70283
1410,0.0,50,70333
1411,0.0,50,70383
1412,0.0,50,70433
1413,0.0,50,70483
1414,0.0,50,70533
1415,0.0,50,70583
1416,0.0,50,70633
1417,0.0,50,70683
1418,0.0,50,70733
1419,0.0,50,70783
1420,-1500.0,50,70833
1421,0.0,50,70883
1422,0.0,50,70933
1423,0.0,50,70983
1424,-420.0,50,71033
1425,0.0,50,71083
1426,0.0,50,71133
1427,0.0,50,71183
1428,0.0,50,71233
1429,0.0,50,71283
1430,0.0,50,71333
1431,0.0,50,71383
1432,0.0,50,71433
1433,0.0,50,71483
1434,0.0,50,71533
1435,0.0,50,71583
1436,0.0,50,71633
1437,0.0,50,71683
1438,56.0,50,71733
1439,0.0,50,71783
1440,0.0,50,71833
1441,0.0,50,71883
1442,0.0,70,71953
1443,50.0,50,72003
1444,0.0,50,72053
1445,0.0,50,72103
1446,0.0,50,72153
1447,0.0,50,72203
1448,0.0,50,72253
1449,0.0,50,72303
1450,0.0,50,72353
1451,80.0,50,72403
1452,0.0,50,72453
1453,0.0,50,72503
1454,0.0,50,72553
1455,0.0,50,72603
1456,0.0,50,72653
1457,84.0,50,72703
1458,0.0,50,72753
1459,36.0,50,72803
1460,0.0,50,72853
1461,0.0,50,72903
1462,0.0,50,72953
1463,0.0,50,73003
1464,0.0,50,73053
1465,0.0,50,73103
1466,0.0,50,73153
1467,0.0,50,73203
1468,0.0,50,73253
1469,16.0,50,73303
1470,0.0,50,73353
1471,0.0,41,73394
1472,0.0,50,73444
1473,0.0,50,73494
1474,86.0,50,73544
1475,-90.0,50,73594
1476,-480.0,70,73664
1477,0.0,50,73714
1478,-34.0,70,73784
1479,0.0,50,73834
1480,0.0,70,73904
1481,0.0,50,73954
1482,0.0,50,74004
1483,0.0,50,74054
1484,0.0,45,74099
1485,0.0,30,74129
1486,0.0,50,74179
1487,0.0,50,74229
1488,0.0,50,74279
1489,0.0,35,74314
1490,0.0,50,74364
1491,0.0,50,74414
1492,0.0,50,74464
1493,0.0,50,74514
1494,72.0,50,74564
1495,64.0,50,74614
1496,0.0,50,74664
1497,0.0,50,74714
1498,0.0,50,74764
1499,0.0,50,74814
1500,0.0,50,74864
1501,0.0,50,74914
1502,0.0,50,74964
1503,0.0,50,75014
1504,-340.0,45,75059
1505,0.0,50,75109
1506,0.0,50,75159
1507,0.0,50,75209
1508,0.0,50,75259
1509,0.0,50,75309
1510,0.0,50,75359
1511,0.0,50,75409
1512,0.0,50,75459
1513,0.0,50,75509
1514,0.0,50,75559
1515,0.0,50,75609
1516,0.0,50,75659
1517,0.0,50,75709
1518,100.0,50,75759
1519,0.0,50,75809
1520,0.0,50,75859
1521,0.0,50,75909
1522,0.0,50,75959
1523,0.0,50,76009
1524,0.0,50,76059
1525,0.0,50,76109
1526,0.0,50,76159
1527,0.0,50,76209
1528,-10.0,50,76259
1529,0.0,50,76309
1530,0.0,50,76359
1531,-3705.0,50,76409
1532,0.0,50,76459
1533,0.0,50,76509
1534,0.0,50,76559
1535,0.0,50,76609
1536,0.0,50,76659
1537,0.0,50,76709
1538,0.0,50,76759
1539,0.0,50,76809
1540,0.0,50,76859
1541,0.0,50,76909
1542,0.0,50,76959
1543,0.0,50,77009
1544,0.0,50,77059
1545,62.0,50,77109
1546,0.0,50,77159
1547,0.0,50,77209
